CustomerID,Age,Gender,City,MembershipLevel,AvgSessionTime_Min,PagesPerSession,PurchaseFrequency_Monthly,AvgOrderValue_INR,DiscountUsageRate,SatisfactionScore,ReturnsCount,SupportTickets,LastPurchaseDate
1001,56,Female,Hyderabad,Gold,21.07,4,8.35,2147.2,0.32,2.5,1,0,2024-11-01
1002,69,Other,Bangalore,Standard,5.52,2,4.09,1480.56,0.2,2.5,0,0,2025-09-24
1003,46,Other,Hyderabad,Platinum,8.06,19,6.17,6186.37,0.43,4.5,1,0,2024-03-29
1004,32,Other,Mumbai,Gold,25.42,1,9.0,6943.63,0.43,1.1,2,0,2024-06-24
1005,60,Male,Bangalore,Standard,7.07,1,7.9,7088.78,0.41,5.0,1,1,2024-10-22
1006,25,Female,Chennai,Standard,3.1,12,1.94,5417.07,0.92,4.8,0,2,2024-09-03
1007,38,Male,Delhi,Standard,21.4,11,7.33,9538.48,0.34,3.2,0,0,2025-07-29
1008,56,Male,Mumbai,Standard,12.67,1,5.02,8829.22,0.03,3.9,0,0,2025-02-14
1009,36,Male,Delhi,Standard,27.68,14,7.46,9584.79,0.18,4.7,0,0,2025-11-20
1010,40,Female,Hyderabad,Silver,19.86,11,4.95,4010.2,0.72,2.0,0,0,2024-02-09
1011,28,Other,Bangalore,Standard,3.62,7,1.28,8802.27,0.59,2.3,0,0,2024-12-31
1012,28,Male,Hyderabad,Silver,28.49,2,5.7,7676.17,0.95,1.4,0,0,2025-01-18
1013,41,Female,Chennai,Standard,8.5,15,4.92,3531.73,0.69,3.3,0,0,2025-02-05
1014,53,Male,Delhi,Standard,10.78,8,5.18,1244.61,0.19,1.6,1,0,2025-09-11
1015,57,Other,Delhi,Gold,12.67,15,8.79,6889.69,0.12,4.7,1,0,2025-11-08
1016,41,Female,Hyderabad,Standard,2.49,8,8.95,1537.23,0.52,2.7,0,0,2024-04-09
1017,20,Male,Hyderabad,Standard,15.4,10,4.54,3079.0,0.67,4.7,0,0,2025-01-06
1018,39,Female,Hyderabad,Gold,4.58,19,4.56,5103.57,0.17,1.8,2,0,2024-10-14
1019,19,Other,Bangalore,Silver,12.63,3,5.15,6862.85,0.6,3.8,1,1,2024-09-01
1020,41,Female,Delhi,Gold,11.17,14,5.2,9277.03,0.87,3.6,2,1,2024-07-04
1021,61,Other,Bangalore,Standard,23.41,9,9.5,6013.75,0.73,2.6,1,0,2025-11-25
1022,47,Female,Chennai,Gold,24.29,9,6.49,6779.85,0.66,4.6,2,1,2025-01-13
1023,55,Other,Chennai,Silver,5.45,6,2.77,3238.14,0.79,2.7,1,1,2024-06-21
1024,19,Other,Pune,Standard,11.63,8,5.32,6935.47,0.1,1.8,2,1,2025-01-28
1025,38,Female,Pune,Standard,11.83,11,6.27,4490.34,0.2,4.9,1,0,2024-10-11
1026,50,Male,Mumbai,Standard,5.39,8,6.4,8597.93,0.04,2.8,0,0,2025-06-12
1027,29,Male,Delhi,Gold,24.16,12,5.85,4046.02,0.14,1.8,0,0,2025-05-30
1028,39,Other,Pune,Standard,21.51,10,1.78,4789.07,0.91,2.5,1,1,2025-04-17
1029,61,Female,Chennai,Silver,6.52,4,0.34,4439.36,0.22,3.5,1,0,2024-12-24
1030,42,Female,Pune,Standard,11.63,16,3.38,8149.0,0.66,3.0,0,1,2025-02-03
1031,66,Female,Mumbai,Standard,4.07,6,4.28,9546.25,0.69,3.5,0,2,2025-02-22
1032,44,Female,Delhi,Silver,19.22,9,0.62,3407.31,0.65,3.6,0,1,2025-02-04
1033,59,Female,Pune,Standard,4.52,5,8.15,4855.27,0.55,1.5,0,0,2025-04-03
1034,45,Female,Delhi,Gold,29.59,6,3.44,7118.08,0.49,2.3,0,0,2025-11-09
1035,33,Male,Bangalore,Silver,23.64,17,9.14,8974.74,0.42,4.0,0,1,2025-01-10
1036,32,Female,Hyderabad,Standard,12.32,17,1.54,5038.27,0.92,3.6,2,1,2024-08-13
1037,64,Other,Mumbai,Standard,17.78,13,0.57,1267.16,0.01,1.4,0,0,2024-12-27
1038,68,Female,Hyderabad,Silver,27.43,17,4.82,3812.98,0.05,2.3,0,0,2025-01-22
1039,61,Other,Pune,Gold,17.07,14,1.89,5593.55,0.49,4.7,2,0,2024-01-08
1040,69,Male,Hyderabad,Silver,6.06,2,9.37,4291.74,0.33,4.4,0,1,2025-01-31
1041,20,Female,Hyderabad,Standard,11.98,19,0.1,2028.25,0.41,3.7,0,1,2024-03-17
1042,54,Other,Chennai,Silver,25.45,3,4.13,562.5,1.0,1.3,1,0,2025-05-31
1043,68,Male,Mumbai,Standard,19.68,2,9.27,6936.6,0.78,3.4,0,0,2024-02-08
1044,24,Other,Mumbai,Gold,19.87,2,3.84,9928.82,0.88,1.0,0,0,2024-10-05
1045,38,Female,Bangalore,Gold,26.14,7,0.93,9208.23,0.37,3.6,1,1,2024-02-07
1046,26,Other,Hyderabad,Silver,26.93,4,3.03,6896.05,0.24,3.9,1,0,2025-03-02
1047,56,Female,Mumbai,Standard,27.67,17,4.98,8446.99,0.77,3.0,0,0,2024-01-24
1048,35,Other,Bangalore,Gold,3.75,6,1.85,2706.13,0.81,1.0,0,0,2025-01-19
1049,21,Female,Pune,Gold,16.78,7,4.67,6299.86,0.55,3.7,0,2,2025-09-08
1050,42,Male,Mumbai,Silver,22.47,6,8.36,793.92,0.9,4.3,0,0,2025-10-14
1051,31,Female,Bangalore,Standard,22.95,9,8.73,7130.4,0.97,3.3,0,0,2024-08-12
1052,67,Male,Mumbai,Platinum,18.59,4,0.49,9704.75,0.47,3.8,0,0,2024-05-22
1053,26,Other,Chennai,Gold,5.84,5,1.61,8635.81,0.22,1.4,1,0,2025-10-13
1054,43,Other,Pune,Standard,24.13,19,2.75,5437.52,0.52,3.9,1,0,2024-11-13
1055,19,Other,Bangalore,Gold,21.88,10,5.95,7929.65,0.99,3.5,0,2,2024-08-22
1056,37,Female,Chennai,Gold,3.5,18,3.61,9450.21,0.29,2.3,1,0,2024-12-29
1057,45,Other,Chennai,Silver,14.45,15,8.44,2316.97,0.62,3.7,0,0,2024-09-19
1058,64,Male,Chennai,Standard,6.05,1,7.17,7973.93,0.69,3.6,0,0,2025-10-10
1059,24,Other,Pune,Standard,10.79,5,1.0,2844.5,0.21,3.4,1,0,2024-07-18
1060,61,Male,Bangalore,Gold,1.52,5,6.25,8794.08,0.59,1.7,1,0,2024-12-30
1061,25,Other,Hyderabad,Standard,12.61,8,1.13,1163.87,0.31,2.2,0,1,2025-11-05
1062,64,Other,Mumbai,Silver,16.95,15,2.55,1946.54,0.85,5.0,0,0,2025-07-25
1063,52,Male,Hyderabad,Silver,18.97,17,1.78,7262.04,0.71,2.7,2,1,2024-08-09
1064,31,Male,Mumbai,Platinum,20.24,19,1.73,1912.82,0.83,1.2,2,0,2025-07-02
1065,34,Other,Delhi,Standard,25.25,13,6.16,1748.93,0.2,4.6,1,0,2024-09-19
1066,53,Female,Delhi,Silver,7.25,10,5.64,5643.58,0.03,1.7,1,0,2024-09-19
1067,67,Other,Delhi,Standard,4.49,17,1.76,8382.87,0.85,2.6,1,0,2024-02-21
1068,57,Male,Pune,Standard,25.69,5,9.9,2830.98,0.39,2.1,2,0,2024-03-10
1069,21,Female,Mumbai,Standard,5.54,18,4.22,8443.15,0.18,4.9,0,0,2024-12-07
